"","V1","V2","V3"
"1",0.973513986014053,0.617223496600185,1.53457108412713
"2",1.10427954456085,0.713460849545294,1.71263372080927
"3",1.07475954532142,0.699026849817499,1.65479918326593
"4",1.02389078498289,0.66824574511132,1.56952280271477
"5",1.0470989761092,0.687260679937177,1.59669886145686
"6",0.932789432789524,0.610522799612876,1.42330938442552
"7",0.977455821205828,0.642408537500302,1.48662761169817
"8",0.866981855357144,0.563737955411321,1.3296282119739
"9",0.867040244527337,0.563832017905033,1.32958388950744
"10",0.823886639698097,0.533140127075482,1.26822605024287
